School Year,State,Dist Code,District Name,Sch Code,School Name,P-12 Total,K-12 Total,PK Total,Full K Total,Half K Total,Gr 1 Total,Gr 2 Total,Gr 3 Total,Gr 4 Total,Gr 5 Total,Gr 6 Total,Gr 7 Total,Gr 8 Total,Gr 9 Total,Gr 10 Total,Gr 11 Total,Gr 12 Total
2017,WA,01147,Othello School District,5367,Desert Oasis High School,90,90,0,0,0,0,0,0,0,0,0,0,0,0,18,30,42
2017,WA,01147,Othello School District,3015,Othello High School,"1,106","1,072",34,0,2,0,0,0,0,0,0,0,0,310,273,233,254
2017,WA,38301,Palouse School District,2634,Palouse High School,48,48,0,0,0,0,0,0,0,0,0,0,0,9,13,18,8
2017,WA,11001,Pasco School District,5164,Chiawana High School,"2,571","2,571",0,0,0,0,0,0,0,0,0,0,4,683,701,602,581
2017,WA,11001,Pasco School District,3912,New Horizons High School,271,271,0,0,0,0,0,0,0,0,0,0,0,0,18,56,197
2017,WA,11001,Pasco School District,2917,Pasco Senior High School,"2,175","2,175",0,0,0,0,0,0,0,0,0,0,0,560,605,530,480
2017,WA,24122,Pateros School District,2397,Pateros High School,141,141,0,0,0,0,0,0,0,0,0,22,24,19,28,22,26
2017,WA,27401,Peninsula School District,1516,Henderson Bay Alt High School,155,155,0,0,0,0,0,0,0,0,0,0,0,6,11,43,95
2017,WA,27401,Peninsula School District,2681,Peninsula High School,"1,392","1,392",0,0,0,0,0,0,0,0,0,0,0,349,329,359,355
2017,WA,12110,Pomeroy School District,2241,Pomeroy Jr Sr High School,142,142,0,0,0,0,0,0,0,0,0,22,20,24,34,21,21
2017,WA,05121,Port Angeles School District,4003,Lincoln High School,68,68,0,0,0,0,0,0,0,0,0,0,0,4,11,16,37
2017,WA,05121,Port Angeles School District,2908,Port Angeles High School,"1,156","1,156",0,0,0,0,0,0,0,0,0,0,0,306,280,291,279
2017,WA,16050,Port Townsend School District,2503,Port Townsend High School,350,350,0,0,0,0,0,0,0,0,0,0,0,74,73,81,122
2017,WA,03116,Prosser School District,2508,Prosser High School,867,867,0,0,0,0,0,0,0,0,0,0,0,221,233,206,207
2017,WA,38267,Pullman School District,2499,Pullman High School,845,845,0,0,0,0,0,0,0,0,0,0,1,220,221,218,185
2017,WA,27003,Puyallup School District,4540,Emerald Ridge High School,"1,563","1,563",0,0,0,0,0,0,0,0,0,0,0,0,547,508,508
2017,WA,27003,Puyallup School District,2125,Puyallup High School,"1,813","1,813",0,0,0,0,0,0,0,0,0,0,0,0,625,594,594
2017,WA,27003,Puyallup School District,3645,Rogers High School,"1,882","1,882",0,0,0,0,0,0,0,0,0,0,0,3,642,618,619
2017,WA,27003,Puyallup School District,3972,Walker High School,111,111,0,0,0,0,0,0,0,0,0,0,0,6,11,31,63
2017,WA,05402,Quillayute Valley School District,2349,Forks Junior-Senior High School,457,457,0,0,0,0,0,0,0,0,0,76,70,78,88,65,80
2017,WA,13144,Quincy School District,3088,Quincy High School,810,810,0,0,0,0,0,0,0,0,0,0,0,203,213,207,187
2017,WA,34307,Rainier School District,2468,Rainier Senior High School,263,263,0,0,0,0,0,0,0,0,0,0,0,57,71,68,67
2017,WA,25116,Raymond School District,2357,Raymond Jr Sr High School,242,242,0,0,0,0,0,0,0,0,0,48,40,37,38,42,37
2017,WA,22009,Reardan-Edwall School District,2478,Reardan Middle-Senior High School,324,324,0,0,0,0,0,0,0,0,39,60,35,56,40,50,44
2017,WA,17403,Renton School District,3630,Hazen Senior High School,"1,628","1,628",0,0,0,0,0,0,0,0,0,0,0,384,448,408,388
2017,WA,17403,Renton School District,3741,Lindbergh Senior High School,"1,273","1,273",0,0,0,0,0,0,0,0,0,0,0,335,331,281,326
2017,WA,17403,Renton School District,2475,Renton Senior High School,"1,314","1,314",0,0,0,0,0,0,0,0,0,0,0,309,330,384,291
2017,WA,10309,Republic School District,3579,Republic Senior High School,97,97,0,0,0,0,0,0,0,0,0,0,0,24,26,25,22
2017,WA,03400,Richland School District,3833,Hanford High School,"2,011","2,011",0,0,0,0,0,0,0,0,0,0,0,522,522,503,464
2017,WA,03400,Richland School District,3511,Richland High School,"2,006","2,006",0,0,0,0,0,0,0,0,0,0,0,479,479,536,512
2017,WA,03400,Richland School District,4295,Rivers Edge High School,212,212,0,0,0,0,0,0,0,0,0,0,0,2,20,51,139
